Layer 1,Layer 2,Layer 3,R2,MAE
1,16,5,0.21426,0.35277
1,16,6,-6E-05,0.53467
1,16,7,0.16073,0.41374
1,16,8,0.16153,0.41477
1,16,9,0.1827,0.37166
1,16,10,0.23638,0.3631
1,17,0,0.30593,0.36676
1,17,1,-8E-05,0.53458
1,17,2,0.17599,0.41254
1,17,3,0.23869,0.36027
1,17,4,0.36279,0.30784
1,17,5,0.36393,0.31123
1,17,6,0.23745,0.35331
1,17,7,0.30651,0.36412
1,17,8,0.17658,0.41216
1,17,9,0.37557,0.25867
1,17,10,0.37574,0.25783
1,18,0,0.30666,0.36394
1,18,1,-8E-05,0.53454
1,18,2,0.16044,0.42684
1,18,3,0.16415,0.4102
1,18,4,-4E-05,0.53478
1,18,5,0.22208,0.36386
1,18,6,0.36067,0.30789
1,18,7,0.36193,0.31139
1,18,8,0.36214,0.30992
1,18,9,0.17578,0.41551
1,18,10,0.375,0.26264
1,19,0,0.30581,0.36348
1,19,1,0.30272,0.35929
1,19,2,0.22221,0.36324
1,19,3,0.36135,0.31008
1,19,4,-8E-05,0.53457
1,19,5,0.17609,0.41247
1,19,6,0.36063,0.30701
1,19,7,0.22148,0.36039
1,19,8,0.36146,0.30545
1,19,9,0.21958,0.37352
1,19,10,0.23805,0.35311
1,20,0,0.17632,0.41245
1,20,1,0.17592,0.4165
1,20,2,0.30938,0.36267
1,20,3,0.23775,0.36291
1,20,4,0.29755,0.37723
1,20,5,0.17622,0.41221
1,20,6,0.22023,0.3559
1,20,7,0.3635,0.30512
1,20,8,0.30693,0.36457
1,20,9,0.23768,0.359
1,20,10,0.18274,0.37048
2,0,0,0.45142,0.25989
2,1,0,-7E-05,0.53461
2,1,1,0,0.53544
2,1,2,-1E-05,0.53512
2,1,3,-7E-05,0.53463
2,1,4,0,0.53518
2,1,5,0,0.5353
2,1,6,0,0.53538
2,1,7,-2E-05,0.53587
2,1,8,0,0.5352
2,1,9,0,0.53524
2,1,10,0,0.53548
2,2,0,0.59901,0.23213
2,2,1,0.62885,0.1947
2,2,2,0.44973,0.31071
2,2,3,0.42723,0.27787
2,2,4,0.45907,0.31013
2,2,5,0.42263,0.24545
2,2,6,0.60772,0.1846
2,2,7,0.57525,0.20308
2,2,8,0.61525,0.19446
2,2,9,0.44683,0.30132
2,2,10,0.63003,0.21842
2,3,0,-7E-05,0.53459
2,3,1,-9E-05,0.53453
2,3,2,0.52283,0.21727
2,3,3,0.60627,0.18576
2,3,4,0.45723,0.24281
2,3,5,0.63839,0.18237
2,3,6,0.4886,0.23788
2,3,7,0.59881,0.17459
2,3,8,0.57451,0.19838
2,3,9,0.52234,0.22606
2,3,10,0.38837,0.26509
2,4,0,0.40548,0.27338
2,4,1,0.38784,0.26881
2,4,2,0.48692,0.20798
2,4,3,0.27063,0.34662
2,4,4,0.01924,0.51944
2,4,5,0.39751,0.25635
2,4,6,0.40677,0.27393
2,4,7,0.41782,0.25315
2,4,8,0.42194,0.25576
2,4,9,0.40198,0.27304
2,4,10,0.60753,0.18518
2,5,0,0.57571,0.19459
2,5,1,0.44089,0.2735
2,5,2,0.44529,0.24739
2,5,3,-7E-05,0.5346
2,5,4,0.58641,0.20817
2,5,5,0.64354,0.17929
2,5,6,0.44021,0.24023
2,5,7,0.62308,0.19501
2,5,8,0.48824,0.22826
2,5,9,0.68932,0.176
2,5,10,0.68136,0.16318
2,6,0,0.40091,0.27159
2,6,1,0.40548,0.26267
2,6,2,-9E-05,0.53452
2,6,3,-8E-05,0.53457
2,6,4,0.62486,0.20463
2,6,5,0.66213,0.17296
2,6,6,0.63772,0.16829
2,6,7,0.6889,0.17997
2,6,8,0.40254,0.27014
2,6,9,0.68561,0.1817
2,6,10,0.46927,0.28576
2,7,0,0.43431,0.2417
2,7,1,-4E-05,0.53481
2,7,2,-0.00011,0.53444
2,7,3,0.42754,0.25997
2,7,4,0.47708,0.21291
2,7,5,0.60976,0.20224
2,7,6,0.57447,0.19075
2,7,7,0.43352,0.24438
2,7,8,0.57706,0.19107
2,7,9,0.64507,0.15935
2,7,10,0.70761,0.15228
2,8,0,0.39742,0.27369
2,8,1,-0.0001,0.53446
2,8,2,0.39108,0.26778
2,8,3,0.57959,0.21664
2,8,4,0.40187,0.26742
2,8,5,0.40041,0.27986
2,8,6,0.4226,0.25835
2,8,7,0.61983,0.19173
2,8,8,0.6657,0.18224
2,8,9,0.62133,0.19781
2,8,10,0.66702,0.17966
2,9,0,0.60954,0.20306
2,9,1,-0.0001,0.53446
2,9,2,-0.0001,0.53449
2,9,3,0.68408,0.18484
2,9,4,0.61604,0.19642
2,9,5,0.48834,0.21918
2,9,6,0.68171,0.18669
2,9,7,0.66657,0.1944
2,9,8,0.74072,0.19084
2,9,9,0.67309,0.18869
2,9,10,0.67445,0.18181
2,10,0,0.39892,0.26141
2,10,1,-8E-05,0.53454
2,10,2,0.64815,0.1988
2,10,3,0.61379,0.18818
2,10,4,0.62678,0.19857
2,10,5,0.67035,0.18833
2,10,6,0.67902,0.18686
2,10,7,0.69124,0.18919
2,10,8,0.65377,0.20062
2,10,9,0.64589,0.1932
2,10,10,0.62951,0.20199
2,11,0,0.3939,0.2654
2,11,1,-3E-05,0.53484
2,11,2,-9E-05,0.53452
2,11,3,0.66542,0.19667
2,11,4,0.68594,0.18788
2,11,5,0.64661,0.20976
2,11,6,0.66593,0.19378
2,11,7,0.68249,0.18561
2,11,8,0.66975,0.18959
2,11,9,0.52372,0.19943
2,11,10,0.66569,0.19477
2,12,0,0.43346,0.25438
2,12,1,-7E-05,0.53458
2,12,2,0.61558,0.19992
2,12,3,0.48007,0.21599
2,12,4,0.58577,0.20976
2,12,5,0.4827,0.22638
2,12,6,0.66082,0.17052
2,12,7,0.60752,0.20917
2,12,8,0.65411,0.16648
2,12,9,0.68027,0.1836
2,12,10,0.6741,0.1885
2,13,0,0.57631,0.19355
2,13,1,0.57581,0.19181
2,13,2,-4E-05,0.53477
2,13,3,0.67435,0.19506
2,13,4,0.65044,0.19256
2,13,5,0.68564,0.18437
2,13,6,0.63998,0.16039
2,13,7,0.6517,0.16104
2,13,8,0.68759,0.16433
2,13,9,0.66098,0.17368
2,13,10,0.51157,0.20475
2,14,0,0.61672,0.19983
2,14,1,-8E-05,0.53455
2,14,2,0.61963,0.21815
2,14,3,0.64537,0.19867
2,14,4,-0.00012,0.53438
2,14,5,0.62385,0.1941
2,14,6,0.47893,0.22449
2,14,7,0.4592,0.23806
2,14,8,0.61844,0.19726
2,14,9,0.47889,0.21158
2,14,10,0.47919,0.22571
2,15,0,0.62224,0.19659
2,15,1,0.02038,0.51712
2,15,2,0.40151,0.28121
2,15,3,0.4425,0.24323
2,15,4,0.61875,0.19802
2,15,5,0.01633,0.52178
2,15,6,0.69983,0.1566
2,15,7,0.65603,0.18247
2,15,8,0.60367,0.19629
2,15,9,0.68021,0.17194
2,15,10,0.68303,0.18665
2,16,0,0.62654,0.19494
2,16,1,0.62167,0.19437
2,16,2,0.40104,0.28032
2,16,3,0.67858,0.18931
2,16,4,0.66745,0.19561
2,16,5,0.61584,0.19337
2,16,6,0.66064,0.18736
2,16,7,0.68123,0.18952
2,16,8,0.68917,0.16139
2,16,9,0.62527,0.19446
2,16,10,0.47803,0.22083
2,17,0,0.63279,0.20114
2,17,1,0.6575,0.19498
2,17,2,0.63827,0.19361
2,17,3,0.01428,0.52256
2,17,4,0.68525,0.18829
2,17,5,0.68857,0.18529
2,17,6,0.6815,0.18731
2,17,7,0.69935,0.18248
2,17,8,0.67729,0.19056
2,17,9,0.64085,0.19409
2,17,10,0.69027,0.18518
2,18,0,0.62793,0.20129
2,18,1,0.61198,0.22277
2,18,2,0.62198,0.18298
2,18,3,0.66517,0.16911
2,18,4,0.68762,0.1806
2,18,5,0.68843,0.16468
2,18,6,0.67957,0.15861
2,18,7,0.64915,0.20932
2,18,8,0.68904,0.18644
2,18,9,0.69061,0.14561
2,18,10,0.48591,0.22097
2,19,0,0.62695,0.19652
2,19,1,0.64283,0.20522
2,19,2,0.38928,0.26642
2,19,3,0.47423,0.22116
2,19,4,0.64528,0.19079
2,19,5,0.67929,0.18667
2,19,6,0.48418,0.27252
2,19,7,0.64462,0.19116
2,19,8,0.67204,0.19215
2,19,9,0.69095,0.19343
2,19,10,0.6445,0.19353
2,20,0,0.62769,0.19013
2,20,1,0.64689,0.18922
2,20,2,0.65963,0.19855
2,20,3,0.62334,0.17101
2,20,4,0.68268,0.18776
2,20,5,0.66964,0.18767
2,20,6,0.67911,0.16879
2,20,7,0.48417,0.22132
2,20,8,0.48697,0.22206
2,20,9,0.67506,0.18398
2,20,10,0.6844,0.17799
3,0,0,0.5639,0.20734
3,1,0,-3E-05,0.53487
3,1,1,-0.00188,0.53604
3,1,2,0.53645,0.22513
3,1,3,0,0.5354
3,1,4,0.41306,0.30018
3,1,5,0.41352,0.30123
3,1,6,-1E-05,0.53535
3,1,7,0.41272,0.2994
3,1,8,0.42111,0.28478
3,1,9,0.00013,0.53526
3,1,10,0.33908,0.29796
3,2,0,0.65042,0.16424
3,2,1,-5E-05,0.53472
3,2,2,0.38983,0.25415
3,2,3,0.65781,0.17386
3,2,4,0.6447,0.16281
3,2,5,0.65415,0.16294
3,2,6,0.64762,0.17591
3,2,7,0.65464,0.16399
3,2,8,0.65767,0.17806
3,2,9,0.78816,0.12958
3,2,10,0.64788,0.16676
3,3,0,0.6592,0.18118
3,3,1,0.58661,0.2198
3,3,2,0.66094,0.16088
3,3,3,0.67315,0.1509
3,3,4,0.64585,0.16761
3,3,5,0.38429,0.26574
3,3,6,0.6428,0.16946
3,3,7,0.67455,0.17558
3,3,8,0.6342,0.191
3,3,9,0.62669,0.17767
3,3,10,0.69573,0.15319
3,4,0,0.64509,0.14634
3,4,1,0.3818,0.27397
3,4,2,0.60019,0.18157
3,4,3,0.7861,0.12525
3,4,4,0.55661,0.21211
3,4,5,0.66931,0.14703
3,4,6,0.42737,0.26281
3,4,7,0.73217,0.15628
3,4,8,0.74217,0.15394
3,4,9,0.74269,0.13412
3,4,10,0.36394,0.27573
3,5,0,0.65762,0.15377
3,5,1,-8E-05,0.53455
3,5,2,0.66282,0.15324
3,5,3,0.60067,0.17016
3,5,4,0.45706,0.24348
3,5,5,0.66198,0.16262
3,5,6,0.65191,0.17939
3,5,7,0.79058,0.12061
3,5,8,0.42622,0.25488
3,5,9,0.7295,0.15575
3,5,10,0.61824,0.17799
3,6,0,0.57915,0.19346
3,6,1,-7E-05,0.53461
3,6,2,-9E-05,0.53451
3,6,3,0.66881,0.16845
3,6,4,0.73702,0.14167
3,6,5,0.76196,0.14275
3,6,6,0.70595,0.15539
3,6,7,0.75013,0.14009
3,6,8,0.70888,0.14058
3,6,9,0.75484,0.12977
3,6,10,0.76403,0.12883
3,7,0,0.74791,0.12759
3,7,1,-8E-05,0.53458
3,7,2,0.41446,0.25277
3,7,3,0.64498,0.17736
3,7,4,0.65969,0.15627
3,7,5,0.65158,0.15873
3,7,6,0.66545,0.14566
3,7,7,0.64588,0.16969
3,7,8,0.59409,0.16766
3,7,9,0.68056,0.14269
3,7,10,0.37659,0.2607
3,8,0,0.59231,0.19404
3,8,1,0.64477,0.16098
3,8,2,0.00016,0.53468
3,8,3,0.75406,0.11174
3,8,4,0.80718,0.11804
3,8,5,0.67039,0.19599
3,8,6,0.66737,0.14486
3,8,7,0.64206,0.16049
3,8,8,0.38872,0.25824
3,8,9,0.65106,0.15651
3,8,10,0.72667,0.14661
3,9,0,0.72006,0.13849
3,9,1,0.59744,0.17566
3,9,2,0.71511,0.1564
3,9,3,0.73602,0.13661
3,9,4,0.7094,0.14545
3,9,5,0.77427,0.1173
3,9,6,0.67902,0.1641
3,9,7,0.7128,0.1325
3,9,8,0.71202,0.15105
3,9,9,0.71959,0.14531
3,9,10,0.70933,0.12471
3,10,0,0.68271,0.1871
3,10,1,-3E-05,0.53485
3,10,2,0.62715,0.17463
3,10,3,0.74638,0.14274
3,10,4,0.66649,0.15234
3,10,5,-8E-05,0.53455
3,10,6,0.76382,0.11088
3,10,7,0.70925,0.16041
3,10,8,0.75905,0.12986
3,10,9,0.80688,0.12717
3,10,10,0.73939,0.14571
3,11,0,0.69254,0.15689
3,11,1,0.72487,0.14075
3,11,2,0.66919,0.17655
3,11,3,0.79353,0.12196
3,11,4,0.66819,0.16263
3,11,5,0.79736,0.12135
3,11,6,0.76028,0.12408
3,11,7,0.75878,0.12014
3,11,8,0.70681,0.13128
3,11,9,0.69667,0.16678
3,11,10,0.6975,0.16736
3,12,0,0.67944,0.15081
3,12,1,0.65401,0.14811
3,12,2,0.36763,0.29109
3,12,3,0.69537,0.1373
3,12,4,0.65548,0.14659
3,12,5,0.57073,0.20496
3,12,6,0.67378,0.16473
3,12,7,0.59933,0.19205
3,12,8,0.70268,0.14748
3,12,9,0.77969,0.11974
3,12,10,0.59457,0.17527
3,13,0,0.65461,0.16976
3,13,1,5E-05,0.53479
3,13,2,0.70477,0.15237
3,13,3,0.73686,0.12741
3,13,4,0.67106,0.13829
3,13,5,0.75346,0.14889
3,13,6,0.71974,0.13607
3,13,7,0.68921,0.13151
3,13,8,0.65611,0.17318
3,13,9,0.72649,0.1462
3,13,10,0.64394,0.18158
3,14,0,0.43611,0.24287
3,14,1,-6E-05,0.53468
3,14,2,-6E-05,0.53464
3,14,3,0.69878,0.15655
3,14,4,0.38596,0.27391
3,14,5,0.77279,0.12288
3,14,6,0.76425,0.11967
3,14,7,0.77785,0.13302
3,14,8,0.81559,0.12295
3,14,9,0.77583,0.1279
3,14,10,0.72825,0.12433
3,15,0,0.67439,0.1457
3,15,1,-6E-05,0.53464
3,15,2,0.72757,0.14317
3,15,3,0.77086,0.12488
3,15,4,0.74531,0.12703
3,15,5,0.67172,0.18227
3,15,6,0.65836,0.15447
3,15,7,0.67786,0.1423
3,15,8,0.70833,0.15383
3,15,9,0.72219,0.13487
3,15,10,0.76819,0.12042
3,16,0,0.71587,0.15628
3,16,1,0.39266,0.25928
3,16,2,0.66907,0.14386
3,16,3,0.38728,0.24803
3,16,4,0.68461,0.13608
3,16,5,0.69058,0.17069
3,16,6,0.63067,0.16452
3,16,7,0.72146,0.12843
3,16,8,0.66479,0.14863
3,16,9,0.71132,0.12317
3,16,10,0.72603,0.12952
3,17,0,0.72698,0.13537
3,17,1,-9E-05,0.5345
3,17,2,-6E-05,0.53466
3,17,3,0.73239,0.15372
3,17,4,0.78959,0.11365
3,17,5,0.65291,0.15665
3,17,6,0.78627,0.14421
3,17,7,0.66046,0.15533
3,17,8,0.80998,0.10286
