Layer 1,Layer 2,Layer 3,R2,MAE
10,11,9,0.80228,0.10488
10,11,10,0.8347,0.09254
10,12,0,0.80428,0.11256
10,12,1,0.79358,0.12413
10,12,2,0.81001,0.12411
10,12,3,0.82777,0.10865
10,12,4,0.83713,0.10036
10,12,5,0.85805,0.09194
10,12,6,0.82695,0.1073
10,12,7,0.80211,0.11992
10,12,8,0.83449,0.09469
10,12,9,0.85055,0.08313
10,12,10,0.77501,0.1103
10,13,0,0.82636,0.102
10,13,1,0.78839,0.12256
10,13,2,0.82727,0.08871
10,13,3,0.80311,0.09752
10,13,4,0.82331,0.10858
10,13,5,0.39958,0.23702
10,13,6,0.82683,0.09202
10,13,7,0.85145,0.08918
10,13,8,0.8306,0.13173
10,13,9,0.83019,0.10462
10,13,10,0.84396,0.09463
10,14,0,0.80961,0.10808
10,14,1,0.77503,0.12831
10,14,2,0.80609,0.10819
10,14,3,0.80234,0.11427
10,14,4,0.00016,0.53426
10,14,5,0.76774,0.1365
10,14,6,0.88203,0.08954
10,14,7,0.83796,0.09302
10,14,8,0.83745,0.09951
10,14,9,0.80038,0.10509
10,14,10,0.8249,0.09568
10,15,0,0.82261,0.09513
10,15,1,0.83878,0.0936
10,15,2,-7E-05,0.53463
10,15,3,0.81186,0.11025
10,15,4,0.81593,0.10479
10,15,5,0.81169,0.11453
10,15,6,0.8241,0.10049
10,15,7,0.85532,0.09109
10,15,8,0.78891,0.11187
10,15,9,0.82798,0.09941
10,15,10,0.80997,0.107
10,16,0,0.78768,0.11154
10,16,1,-4E-05,0.53478
10,16,2,0.81232,0.10766
10,16,3,0.81651,0.09618
10,16,4,0.82278,0.10403
10,16,5,0.816,0.10333
10,16,6,0.81344,0.10554
10,16,7,0.79851,0.13061
10,16,8,0.84981,0.09515
10,16,9,0.80958,0.10605
10,16,10,0.82453,0.09554
10,17,0,0.82349,0.09904
10,17,1,0.80995,0.10197
10,17,2,0.79928,0.10993
10,17,3,0.80325,0.12124
10,17,4,0.80391,0.09696
10,17,5,0.78291,0.10782
10,17,6,0.84423,0.0933
10,17,7,0.83903,0.09471
10,17,8,0.86076,0.08657
10,17,9,0.83974,0.09208
10,17,10,0.83103,0.10129
10,18,0,0.82871,0.10069
10,18,1,0.71566,0.10177
10,18,2,0.84531,0.09436
10,18,3,0.82376,0.09796
10,18,4,0.7927,0.10608
10,18,5,0.81391,0.10027
10,18,6,0.83178,0.10434
10,18,7,0.87558,0.09818
10,18,8,0.81459,0.09711
10,18,9,0.81716,0.105
10,18,10,0.83591,0.10199
10,19,0,0.79007,0.12549
10,19,1,-5E-05,0.5347
10,19,2,0.7982,0.10439
10,19,3,0.84227,0.0925
10,19,4,0.85548,0.07489
10,19,5,0.7913,0.12757
10,19,6,0.84255,0.09865
10,19,7,0.86121,0.10555
10,19,8,0.8271,0.11905
10,19,9,0.81795,0.10743
10,19,10,0.82962,0.10566
10,20,0,0.78442,0.10738
10,20,1,0.82139,0.10806
10,20,2,0.83071,0.09306
10,20,3,0.7973,0.1119
10,20,4,0.76762,0.11871
10,20,5,0.84421,0.09732
10,20,6,0.77733,0.11773
10,20,7,0.8353,0.10036
10,20,8,0.85019,0.09155
10,20,9,0.84374,0.10681
10,20,10,0.84188,0.13086
11,0,0,0.71269,0.14764
11,1,0,0.02162,0.51604
11,1,1,0,0.53527
11,1,2,0.0138,0.52451
11,1,3,0.67482,0.21379
11,1,4,0.66233,0.14532
11,1,5,0.61067,0.21481
11,1,6,0.0159,0.5221
11,1,7,0.74817,0.13721
11,1,8,0.00051,0.53519
11,1,9,0.00051,0.53519
11,1,10,0.75705,0.13284
11,2,0,0.7428,0.13063
11,2,1,0.08745,0.50081
11,2,2,0.78284,0.11778
11,2,3,-7E-05,0.53459
11,2,4,0.72201,0.14526
11,2,5,0.69887,0.14764
11,2,6,0.74336,0.135
11,2,7,0.69662,0.15042
11,2,8,0.62655,0.16728
11,2,9,0.40018,0.23923
11,2,10,0.71332,0.16019
11,3,0,0.68578,0.12826
11,3,1,-6E-05,0.53468
11,3,2,0.63615,0.15454
11,3,3,0.66432,0.14443
11,3,4,0.74877,0.1479
11,3,5,-7E-05,0.5346
11,3,6,0.81347,0.09743
11,3,7,0.79042,0.12074
11,3,8,0.74917,0.13687
11,3,9,0.80462,0.11675
11,3,10,0.76969,0.13688
11,4,0,0.77778,0.11204
11,4,1,-8E-05,0.53457
11,4,2,-9E-05,0.53449
11,4,3,0.77374,0.12776
11,4,4,0.78543,0.12873
11,4,5,0.79888,0.10264
11,4,6,0.8045,0.10562
11,4,7,0.76885,0.14518
11,4,8,0.79801,0.11769
11,4,9,0.81791,0.09889
11,4,10,0.80884,0.11414
11,5,0,0.80692,0.10241
11,5,1,-4E-05,0.53478
11,5,2,0.74987,0.13066
11,5,3,-6E-05,0.53467
11,5,4,0.80401,0.11
11,5,5,0.79351,0.12515
11,5,6,0.85347,0.10994
11,5,7,0.7719,0.11889
11,5,8,0.82189,0.11195
11,5,9,0.84894,0.10081
11,5,10,0.81577,0.10124
11,6,0,0.76552,0.12158
11,6,1,-8E-05,0.53454
11,6,2,0.819,0.10639
11,6,3,0.80943,0.113
11,6,4,0.81055,0.1014
11,6,5,0.804,0.1005
11,6,6,0.8635,0.09807
11,6,7,0.80639,0.10779
11,6,8,0.86328,0.08831
11,6,9,0.84523,0.10816
11,6,10,0.82984,0.09852
11,7,0,0.79666,0.12131
11,7,1,0.79165,0.11654
11,7,2,0.80352,0.10611
11,7,3,0.86768,0.08468
11,7,4,0.83746,0.10569
11,7,5,0.79226,0.11414
11,7,6,0.84455,0.09561
11,7,7,0.82774,0.11152
11,7,8,0.82947,0.09129
11,7,9,0.81388,0.09693
11,7,10,0.84193,0.09369
11,8,0,0.76804,0.10969
11,8,1,0.77237,0.12264
11,8,2,0.77599,0.1257
11,8,3,0.84112,0.10082
11,8,4,0.80433,0.11165
11,8,5,0.83794,0.0949
11,8,6,0.77854,0.13793
11,8,7,0.8176,0.10122
11,8,8,0.82659,0.10613
11,8,9,0.82078,0.0961
11,8,10,0.82047,0.10993
11,9,0,0.82965,0.10146
11,9,1,0.83802,0.11491
11,9,2,0.84501,0.09934
11,9,3,0.84859,0.112
11,9,4,0.82462,0.10291
11,9,5,0.81955,0.10109
11,9,6,0.81053,0.10023
11,9,7,0.87167,0.08567
11,9,8,0.81576,0.11585
11,9,9,0.81823,0.10907
11,9,10,0.84232,0.10314
11,10,0,0.78503,0.10128
11,10,1,-8E-05,0.53455
11,10,2,0.78687,0.11153
11,10,3,0.80147,0.11687
11,10,4,0.81884,0.11263
11,10,5,0.82786,0.10629
11,10,6,0.8487,0.09398
11,10,7,0.88308,0.09735
11,10,8,0.8524,0.10476
11,10,9,0.86046,0.09898
11,10,10,0.81589,0.12001
11,11,0,0.78988,0.11059
11,11,1,0.77461,0.11432
11,11,2,0.81512,0.10926
11,11,3,0.80258,0.10082
11,11,4,-8E-05,0.53458
11,11,5,0.82209,0.1045
11,11,6,0.8108,0.10428
11,11,7,0.74801,0.12927
11,11,8,0.80659,0.0976
11,11,9,0.82468,0.12318
11,11,10,0.84437,0.08851
11,12,0,0.81711,0.09902
11,12,1,0.80455,0.10145
11,12,2,0.8119,0.10088
11,12,3,0.78748,0.11639
11,12,4,0.86767,0.11867
11,12,5,0.84904,0.08781
11,12,6,0.87924,0.09849
11,12,7,0.88322,0.08855
11,12,8,0.8385,0.09971
11,12,9,0.84143,0.098
11,12,10,0.85701,0.10357
11,13,0,0.80865,0.0976
11,13,1,-6E-05,0.53466
11,13,2,0.84893,0.08195
11,13,3,0.83752,0.11106
11,13,4,0.81018,0.12863
11,13,5,0.82786,0.09334
11,13,6,0.79169,0.15074
11,13,7,0.88412,0.09108
11,13,8,0.83388,0.09258
11,13,9,0.85743,0.08603
11,13,10,0.81654,0.09716
11,14,0,0.80049,0.10191
11,14,1,-4E-05,0.53479
11,14,2,0.85242,0.09711
11,14,3,0.81668,0.10345
11,14,4,0.81262,0.09577
11,14,5,0.79079,0.1063
11,14,6,0.84642,0.09213
11,14,7,0.83717,0.10142
11,14,8,0.85658,0.10149
11,14,9,0.83069,0.08933
11,14,10,0.83606,0.09013
11,15,0,0.80207,0.1057
11,15,1,-5E-05,0.53472
11,15,2,0.81631,0.10686
11,15,3,0.83826,0.08677
11,15,4,0.79711,0.10381
11,15,5,0.83341,0.09992
11,15,6,0.83938,0.09371
11,15,7,0.76764,0.12637
11,15,8,0.891,0.0752
11,15,9,0.86461,0.08758
11,15,10,0.81668,0.1221
11,16,0,0.83301,0.10128
11,16,1,-5E-05,0.53475
11,16,2,0.83944,0.0971
11,16,3,0.87672,0.08911
11,16,4,0.84761,0.10522
11,16,5,0.81592,0.10017
11,16,6,0.81329,0.10874
11,16,7,0.83403,0.1064
11,16,8,0.79475,0.11706
11,16,9,0.83337,0.10288
11,16,10,0.81628,0.09836
11,17,0,0.82623,0.08981
11,17,1,-3E-05,0.53487
11,17,2,0.82749,0.09551
11,17,3,0.84599,0.09944
11,17,4,0.83512,0.09489
11,17,5,0.81227,0.11012
11,17,6,0.83576,0.09658
11,17,7,0.82335,0.10611
11,17,8,0.8243,0.09456
11,17,9,0.8638,0.09497
11,17,10,0.82676,0.09376
11,18,0,0.84376,0.09473
11,18,1,-8E-05,0.53458
11,18,2,0.88005,0.0783
11,18,3,0.87539,0.09698
11,18,4,0.81361,0.12116
11,18,5,0.84524,0.09145
11,18,6,0.80634,0.0998
11,18,7,0.80208,0.1003
11,18,8,0.85796,0.09756
11,18,9,0.84924,0.11103
11,18,10,0.86028,0.10001
11,19,0,0.80553,0.10235
11,19,1,-4E-05,0.53477
11,19,2,0.84299,0.09746
11,19,3,0.81418,0.11351
11,19,4,0.81255,0.08943
11,19,5,0.86327,0.09364
11,19,6,0.84061,0.09201
11,19,7,0.89559,0.07853
11,19,8,0.81803,0.09087
11,19,9,0.80191,0.09298
11,19,10,0.82316,0.0948
11,20,0,0.81613,0.101
11,20,1,-8E-05,0.53456
11,20,2,-0.0001,0.53447
11,20,3,0.85048,0.08739
11,20,4,0.87413,0.09227
11,20,5,0.81278,0.09041
11,20,6,0.80785,0.10941
11,20,7,0.83924,0.0965
11,20,8,0.8315,0.09078
11,20,9,0.8758,0.10865
11,20,10,0.83901,0.09368
12,0,0,0.74701,0.13047
12,1,0,0.73143,0.14305
12,1,1,0.39662,0.23638
12,1,2,0.74761,0.13007
12,1,3,0.72331,0.16726
12,1,4,0.77033,0.13442
12,1,5,0.68172,0.13526
12,1,6,0.77169,0.12489
12,1,7,-1E-05,0.53514
12,1,8,0.71345,0.16054
12,1,9,0.71385,0.15245
12,1,10,0.76029,0.14812
12,2,0,-4E-05,0.53479
12,2,1,-1E-05,0.53514
12,2,2,0.0251,0.52147
12,2,3,-6E-05,0.53469
12,2,4,0.7449,0.14494
12,2,5,0.76714,0.12788
12,2,6,0.74811,0.13123
12,2,7,0.78701,0.11448
12,2,8,0.7226,0.14004
12,2,9,0.77683,0.12485
12,2,10,0.75025,0.13015
12,3,0,0.82399,0.09852
12,3,1,0.82355,0.11166
12,3,2,-9E-05,0.5345
12,3,3,0.75976,0.12377
12,3,4,0.80619,0.11542
12,3,5,0.75242,0.12149
12,3,6,0.85449,0.11682
12,3,7,0.77605,0.13017
12,3,8,0.79381,0.13002
12,3,9,0.8302,0.1005
12,3,10,0.57559,0.21387
12,4,0,0.77097,0.13269
12,4,1,-9E-05,0.53453
12,4,2,0.79865,0.11882
12,4,3,0.7981,0.11694
12,4,4,0.82141,0.10239
12,4,5,0.78755,0.11569
12,4,6,0.82303,0.11153
12,4,7,0.8288,0.10997
12,4,8,0.86764,0.10332
12,4,9,0.82752,0.11729
12,4,10,0.83698,0.11018
12,5,0,0.78769,0.12936
12,5,1,-8E-05,0.53454
12,5,2,0.7927,0.12394
12,5,3,0.83249,0.10732
12,5,4,0.85325,0.10021
12,5,5,0.81133,0.11713
12,5,6,0.86325,0.10005
12,5,7,0.82674,0.10257
12,5,8,0.81478,0.10104
12,5,9,0.78415,0.1174
12,5,10,0.83145,0.12355
12,6,0,0.77562,0.12782
12,6,1,-8E-05,0.53454
12,6,2,0.79055,0.11139
12,6,3,0.82049,0.10821
12,6,4,0.81527,0.11096
12,6,5,0.81877,0.11601
12,6,6,0.83544,0.09913
12,6,7,0.86578,0.09571
12,6,8,0.80451,0.10494
12,6,9,0.84738,0.09317
12,6,10,0.82713,0.10084
12,7,0,0.84806,0.09099
12,7,1,0.79911,0.11398
12,7,2,0.8027,0.12024
12,7,3,0.83035,0.09714
12,7,4,0.8113,0.09793
12,7,5,0.8033,0.11
12,7,6,0.81215,0.11006
12,7,7,0.80368,0.11116
12,7,8,0.79587,0.13049
12,7,9,0.84195,0.09829
12,7,10,0.80228,0.11996
12,8,0,0.82281,0.10301
12,8,1,0.87267,0.09096
12,8,2,0.8142,0.0959
12,8,3,0.89931,0.09004
12,8,4,0.81686,0.11062
12,8,5,0.83168,0.09824
12,8,6,0.86088,0.10573
12,8,7,0.81809,0.10124
12,8,8,0.93117,0.071
12,8,9,0.90108,0.08667
12,8,10,0.82729,0.10672
12,9,0,0.81038,0.1093
12,9,1,0.81439,0.11066
12,9,2,0.91837,0.075
12,9,3,0.86036,0.09911
12,9,4,0.86659,0.09531
12,9,5,0.83225,0.09595
12,9,6,0.77493,0.11433
12,9,7,0.90439,0.06781
12,9,8,0.79655,0.10209
12,9,9,0.76577,0.10971
12,9,10,0.84436,0.09357
12,10,0,0.78378,0.11943
12,10,1,0.84136,0.09236
12,10,2,0.79054,0.10792
12,10,3,0.84227,0.09994
12,10,4,0.78882,0.11726
12,10,5,0.83188,0.1001
12,10,6,0.82246,0.10123
12,10,7,0.82248,0.09106
12,10,8,0.88381,0.09094
12,10,9,0.85908,0.10482
12,10,10,0.84638,0.0949
12,11,0,0.78188,0.11239
12,11,1,0.79218,0.12615
12,11,2,0.86365,0.09071
12,11,3,0.80247,0.11176
12,11,4,0.86163,0.08124
12,11,5,0.81908,0.08978
12,11,6,0.82837,0.09932
12,11,7,0.81674,0.10109
12,11,8,0.86471,0.09823
12,11,9,0.8322,0.10469
12,11,10,0.80623,0.11473
12,12,0,0.8303,0.08783
12,12,1,-5E-05,0.5347
12,12,2,0.814,0.09674
12,12,3,0.82899,0.10433
12,12,4,0.76818,0.10613
12,12,5,0.79949,0.11712
12,12,6,0.83063,0.09844
12,12,7,0.8758,0.08285
12,12,8,0.93007,0.07518
12,12,9,0.84168,0.09854
12,12,10,0.83449,0.09318
12,13,0,0.88412,0.08018
12,13,1,-3E-05,0.53485
12,13,2,-6E-05,0.53464
12,13,3,0.86072,0.09676
12,13,4,0.80518,0.11287
12,13,5,0.83999,0.11212
12,13,6,0.84871,0.09315
12,13,7,0.82759,0.09686
12,13,8,0.8257,0.09744
12,13,9,0.89501,0.07862
12,13,10,0.84232,0.09975
12,14,0,0.80433,0.10474
12,14,1,-6E-05,0.53466
12,14,2,0.84082,0.09946
12,14,3,0.79261,0.11659
12,14,4,0.87858,0.09745
12,14,5,0.87524,0.08119
12,14,6,0.82503,0.11108
12,14,7,0.80032,0.10632
12,14,8,0.80809,0.10976
12,14,9,0.82355,0.11077
12,14,10,0.8245,0.09453
12,15,0,0.77919,0.12131
12,15,1,-9E-05,0.5345
12,15,2,0.84202,0.09122
12,15,3,0.82913,0.09641
12,15,4,0.83508,0.09553
12,15,5,0.84871,0.08755
12,15,6,0.8025,0.11794
12,15,7,0.8026,0.12245
12,15,8,0.84924,0.09052
12,15,9,0.83775,0.09486
12,15,10,0.85885,0.09444
12,16,0,0.80469,0.10674
12,16,1,-8E-05,0.53457
12,16,2,0.82147,0.10828
12,16,3,-8E-05,0.53455
12,16,4,0.7242,0.08721
12,16,5,0.84472,0.09805
12,16,6,0.82129,0.09432
12,16,7,0.83112,0.07934
12,16,8,0.89272,0.08056
12,16,9,0.90257,0.09319
12,16,10,0.87778,0.08704
12,17,0,0.77856,0.10485
12,17,1,-6E-05,0.53467
12,17,2,0.79529,0.12092
12,17,3,0.83547,0.1015
12,17,4,0.82575,0.09966
12,17,5,0.85612,0.0853
12,17,6,0.833,0.09576
12,17,7,0.85985,0.08645
12,17,8,0.85598,0.09611
12,17,9,0.81497,0.11114
12,17,10,0.86113,0.0954
12,18,0,0.83721,0.09916
12,18,1,-9E-05,0.53451
12,18,2,0.80579,0.10306
12,18,3,0.81664,0.10545
12,18,4,0.81959,0.09811
12,18,5,0.8651,0.10287
12,18,6,0.81705,0.10939
12,18,7,0.81818,0.09689
12,18,8,0.86344,0.10871
12,18,9,0.79165,0.11505
12,18,10,0.82361,0.12981
12,19,0,0.79343,0.10417
12,19,1,0.84382,0.08865
12,19,2,-7E-05,0.53462
12,19,3,0.7967,0.10959
12,19,4,0.48819,0.17375
12,19,5,0.89801,0.09362
12,19,6,0.83415,0.10566
12,19,7,0.85749,0.09141
12,19,8,0.82554,0.1135
12,19,9,0.86495,0.08667
12,19,10,0.83927,0.09524
12,20,0,0.84818,0.10177
12,20,1,0.8573,0.07991
12,20,2,0.82442,0.0962
12,20,3,0.82492,0.11045
12,20,4,0.80508,0.12043
12,20,5,0.84451,0.09264
12,20,6,0.87245,0.09169
12,20,7,0.83187,0.09961
12,20,8,0.86531,0.07803
12,20,9,0.90916,0.08584
12,20,10,0.82406,0.09317
13,0,0,0.7125,0.13557
13,1,0,0.73735,0.12384
13,1,1,-9E-05,0.53452
13,1,2,-4E-05,0.53479
13,1,3,0.64406,0.14135
13,1,4,0.7287,0.14036
13,1,5,0,0.53529
13,1,6,0.74228,0.14681
13,1,7,0.69029,0.13671
13,1,8,0.64251,0.14441
13,1,9,0.76909,0.13538
13,1,10,0.7928,0.11902
13,2,0,0.78358,0.12313
13,2,1,-5E-05,0.53471
13,2,2,0.67048,0.16032
13,2,3,-0.0001,0.53448
13,2,4,0.02513,0.51361
13,2,5,0.70337,0.14483
13,2,6,0.7219,0.14995
13,2,7,0.69652,0.16
13,2,8,0.7571,0.13065
13,2,9,0.79953,0.11408
13,2,10,0.78046,0.12794
13,3,0,0.75826,0.12247
13,3,1,-4E-05,0.5348
13,3,2,0.78429,0.12009
13,3,3,0.79538,0.11963
13,3,4,0.78071,0.13263
13,3,5,0.81406,0.10906
13,3,6,0.80757,0.11306
13,3,7,0.69989,0.13265
13,3,8,0.40247,0.23132
13,3,9,0.79467,0.12597
13,3,10,0.754,0.12776
13,4,0,0.73614,0.11924
13,4,1,-9E-05,0.53452
13,4,2,0.79285,0.1292
13,4,3,0.71806,0.13443
13,4,4,0.78806,0.11229
13,4,5,0.76685,0.13324
13,4,6,0.82416,0.11288
13,4,7,0.83178,0.11968
13,4,8,0.86473,0.09257
13,4,9,0.90925,0.09052
13,4,10,0.8278,0.13661
13,5,0,0.80786,0.1116
13,5,1,0.80284,0.13371
13,5,2,0.82037,0.11149
13,5,3,0.84118,0.11233
13,5,4,0.80947,0.11989
13,5,5,0.81915,0.11018
13,5,6,0.78913,0.10491
13,5,7,0.84033,0.09842
13,5,8,0.7255,0.1277
13,5,9,0.79217,0.11833
13,5,10,0.85174,0.10291
13,6,0,0.85144,0.10057
13,6,1,0.82805,0.11206
13,6,2,0.85989,0.10354
13,6,3,0.80961,0.11029
13,6,4,0.82428,0.09573
13,6,5,0.88669,0.0904
13,6,6,0.80055,0.11671
13,6,7,0.80567,0.10623
13,6,8,0.79557,0.13393
13,6,9,0.83022,0.11427
13,6,10,0.73664,0.12365
13,7,0,0.81453,0.10131
13,7,1,0.67875,0.12362
13,7,2,-9E-05,0.53452
13,7,3,0.8625,0.09881
13,7,4,0.85236,0.09417
13,7,5,0.77925,0.12225
13,7,6,0.84365,0.0927
13,7,7,0.90053,0.0817
13,7,8,0.86121,0.09656
13,7,9,0.88264,0.09956
13,7,10,0.87499,0.08719
13,8,0,0.74007,0.13931
13,8,1,-5E-05,0.5347
13,8,2,0.82909,0.11919
13,8,3,0.79655,0.10831
13,8,4,0.86889,0.09231
13,8,5,0.82321,0.1022
13,8,6,0.82819,0.12353
13,8,7,0.84849,0.09477
13,8,8,0.85047,0.10513
13,8,9,0.86234,0.09721
13,8,10,0.81395,0.10268
13,9,0,0.83619,0.1021
13,9,1,-3E-05,0.53487
13,9,2,0.8489,0.09325
13,9,3,0.68966,0.12689
13,9,4,0.80035,0.10512
13,9,5,0.83434,0.09983
13,9,6,0.89512,0.08308
13,9,7,0.83404,0.10557
13,9,8,0.81104,0.11277
13,9,9,0.80831,0.11279
13,9,10,0.85559,0.10715
13,10,0,0.68249,0.12742
13,10,1,0.70719,0.121
13,10,2,0.83985,0.12202
13,10,3,0.81943,0.12247
13,10,4,0.73404,0.12777
13,10,5,0.67698,0.13543
13,10,6,0.83025,0.10082
13,10,7,0.85659,0.09239
13,10,8,0.70541,0.10941
13,10,9,0.75738,0.11333
13,10,10,0.8852,0.08922
13,11,0,0.82921,0.10066
13,11,1,-7E-05,0.5346
13,11,2,0.86497,0.08316
13,11,3,-0.0001,0.53448
13,11,4,0.83786,0.09839
13,11,5,0.81562,0.11538
13,11,6,0.8153,0.09034
13,11,7,0.86662,0.09306
13,11,8,0.8146,0.1197
13,11,9,0.85838,0.08797
13,11,10,0.84244,0.10516
13,12,0,0.84352,0.10098
13,12,1,0.79438,0.10284
13,12,2,0.80555,0.14566
13,12,3,0.80199,0.10523
13,12,4,0.87126,0.09285
13,12,5,0.87268,0.09542
13,12,6,0.85447,0.09087
13,12,7,0.86518,0.09399
13,12,8,0.84405,0.10004
13,12,9,0.89039,0.09275
13,12,10,0.842,0.08597
13,13,0,0.76111,0.11677
13,13,1,0.8433,0.08889
13,13,2,0.86817,0.08304
13,13,3,0.842,0.09189
13,13,4,0.83774,0.09236
13,13,5,0.81179,0.11454
13,13,6,0.8222,0.10497
13,13,7,0.82179,0.10845
13,13,8,0.81665,0.09817
13,13,9,0.89399,0.08002
13,13,10,0.84372,0.10545
13,14,0,0.79907,0.10032
13,14,1,0.78972,0.10814
13,14,2,0.79702,0.11207
13,14,3,0.84105,0.09588
13,14,4,0.7928,0.11717
13,14,5,0.80234,0.1019
13,14,6,0.81355,0.09709
13,14,7,0.82002,0.09604
13,14,8,0.8063,0.11312
13,14,9,0.86712,0.08922
13,14,10,0.84349,0.09236
13,15,0,0.79894,0.10821
13,15,1,-7E-05,0.53463
13,15,2,0.87181,0.08535
13,15,3,0.81528,0.1091
13,15,4,0.83366,0.0978
13,15,5,0.83708,0.09948
13,15,6,0.79668,0.09469
13,15,7,0.6735,0.1226
13,15,8,0.8389,0.11063
13,15,9,0.78459,0.13779
13,15,10,0.83802,0.09179
13,16,0,0.7985,0.10988
13,16,1,0.80414,0.10961
13,16,2,0.69477,0.12285
13,16,3,0.84516,0.09704
13,16,4,0.68945,0.13022
13,16,5,0.85084,0.08859
13,16,6,0.79038,0.13188
13,16,7,0.83246,0.08978
13,16,8,0.82705,0.09918
13,16,9,0.82719,0.0975
13,16,10,0.85291,0.09299
13,17,0,0.85848,0.09177
13,17,1,-7E-05,0.53461
13,17,2,0.81973,0.09922
13,17,3,0.84677,0.08646
13,17,4,0.82925,0.10964
13,17,5,0.83333,0.10407
13,17,6,0.87453,0.09453
13,17,7,0.84041,0.0913
13,17,8,0.84658,0.10072
13,17,9,0.8405,0.106
13,17,10,0.84434,0.08555
13,18,0,0.81876,0.09566
13,18,1,-3E-05,0.53488
13,18,2,0.80179,0.09942
13,18,3,0.83398,0.0976
13,18,4,0.88665,0.09005
13,18,5,0.87272,0.08212
13,18,6,0.8272,0.09138
13,18,7,0.83454,0.09092
13,18,8,0.80327,0.10339
13,18,9,0.83946,0.09863
13,18,10,0.85956,0.08177
13,19,0,0.82099,0.10161
13,19,1,-5E-05,0.53472
13,19,2,0.80398,0.10969
13,19,3,-7E-05,0.53461
13,19,4,0.87408,0.08123
13,19,5,0.79492,0.11617
13,19,6,0.8338,0.09416
13,19,7,0.77583,0.11033
13,19,8,0.90875,0.08468
13,19,9,0.85043,0.09569
13,19,10,0.89187,0.0752
13,20,0,0.84708,0.09686
13,20,1,0.70809,0.12299
13,20,2,0.76101,0.11278
13,20,3,0.81231,0.10158
13,20,4,0.8426,0.10918
13,20,5,0.80613,0.09675
13,20,6,0.808,0.11013
13,20,7,0.87828,0.09028
13,20,8,0.80928,0.09227
13,20,9,0.84136,0.12153
13,20,10,0.81128,0.09486
14,0,0,0.75741,0.12704
14,1,0,0.70154,0.14987
14,1,1,-0.00011,0.53444
14,1,2,0.74559,0.12817
14,1,3,0.02179,0.51501
14,1,4,0.0184,0.51999
14,1,5,0.01834,0.52067
14,1,6,0.02278,0.51438
14,1,7,0.01802,0.52177
14,1,8,0.75633,0.13468
14,1,9,0.02256,0.51473
14,1,10,0.70366,0.14737
14,2,0,-7E-05,0.5346
14,2,1,-8E-05,0.53454
14,2,2,-7E-05,0.53462
14,2,3,0,0.53542
14,2,4,-1E-05,0.53564
14,2,5,4E-05,0.53551
14,2,6,0,0.53534
14,2,7,0.81656,0.10395
14,2,8,0.82188,0.1126
14,2,9,-2E-05,0.53496
14,2,10,0,0.53557
14,3,0,0.81049,0.10516
14,3,1,-6E-05,0.53468
14,3,2,0.7978,0.10503
14,3,3,0.82096,0.12126
14,3,4,0.84351,0.09688
14,3,5,0.78087,0.12935
14,3,6,0.79497,0.12489
14,3,7,0.81866,0.09756
14,3,8,0.79503,0.12188
14,3,9,0.85997,0.10478
14,3,10,0.82005,0.11232
14,4,0,0.82767,0.08811
14,4,1,-9E-05,0.53452
14,4,2,0.8342,0.11579
14,4,3,0.80144,0.10992
14,4,4,0.79405,0.11726
14,4,5,0.81858,0.10601
14,4,6,0.83632,0.09817
14,4,7,0.83879,0.10083
14,4,8,0.79506,0.13865
14,4,9,0.79897,0.11381
14,4,10,0.87765,0.09529
14,5,0,0.78972,0.11583
14,5,1,0.83363,0.11076
14,5,2,0.80931,0.10869
14,5,3,0.81617,0.11034
14,5,4,0.8445,0.09683
14,5,5,0.79115,0.10771
14,5,6,0.87269,0.08516
14,5,7,0.84091,0.11471
14,5,8,0.87186,0.09077
14,5,9,0.84877,0.10053
14,5,10,0.83971,0.0918
14,6,0,0.83698,0.09952
14,6,1,0.80685,0.10614
14,6,2,0.79212,0.10303
14,6,3,0.79984,0.10449
14,6,4,0.83984,0.11238
14,6,5,0.80937,0.11911
14,6,6,0.8282,0.1058
14,6,7,0.81461,0.11542
14,6,8,0.87335,0.08148
14,6,9,0.81741,0.10155
14,6,10,0.86484,0.10189
14,7,0,0.78229,0.11504
14,7,1,0.79016,0.11857
14,7,2,0.8284,0.09464
14,7,3,0.79694,0.12186
14,7,4,0.83555,0.11031
14,7,5,0.83073,0.10225
14,7,6,0.83172,0.09253
14,7,7,0.87795,0.08855
14,7,8,0.82267,0.11122
14,7,9,0.8021,0.10766
14,7,10,0.82779,0.09264
14,8,0,0.81968,0.10681
14,8,1,0.80268,0.12286
14,8,2,0.82102,0.09937
14,8,3,0.88159,0.08778
14,8,4,0.71668,0.1
14,8,5,0.89914,0.08719
14,8,6,0.80728,0.09308
14,8,7,0.82915,0.11621
14,8,8,0.8659,0.10439
14,8,9,0.86949,0.10217
14,8,10,0.85146,0.09381
14,9,0,0.83405,0.08814
14,9,1,0.85122,0.09546
14,9,2,0.84306,0.08054
14,9,3,0.02154,0.51412
14,9,4,0.87275,0.08788
14,9,5,0.84487,0.09636
14,9,6,0.88572,0.07804
14,9,7,0.81774,0.10789
14,9,8,0.83008,0.1033
14,9,9,0.85525,0.10087
14,9,10,0.81949,0.11654
14,10,0,0.80885,0.11093
14,10,1,-4E-05,0.53479
14,10,2,0.83572,0.08897
14,10,3,0.70706,0.10899
14,10,4,0.85695,0.08533
14,10,5,0.82792,0.09705
14,10,6,0.82543,0.11936
